id,title,author,genre,year,rating,description
1,Last Garden in Peace,David Lee,Biography,1973,3.9,Story about Biography set in 1973 involving mystery.
2,An World  Love,Robert Brown,Horror,2003,4.0,Story about Horror set in 2003 involving mystery.
3,Silent City the Dream,Sarah Black,Sci-Fi,1951,4.2,Story about Sci-Fi set in 1951 involving mystery.
4, Loud Love in Hope,Robert Brown,Thriller,1954,4.9,Story about Thriller set in 1954 involving war.
5,Lost Hope the World,Emily White,Biography,1989,3.5,Story about Biography set in 1989 involving love.
6,Hidden City of Love,Sarah Black,Fantasy,2020,4.5,Story about Fantasy set in 2020 involving adventure.
7,Secret Fear  Dream,Lisa King,Sci-Fi,1975,4.9,Story about Sci-Fi set in 1975 involving adventure.
8,The War in Woman,Emily White,Thriller,2018,3.3,Story about Thriller set in 2018 involving mystery.
9,Dark Woman in Hope,Lisa King,Fiction,1954,4.3,Story about Fiction set in 1954 involving war.
10,Silent Fear of War,David Lee,Fiction,1971,3.6,Story about Fiction set in 1971 involving adventure.
11,Lost City  Dream,John Smith,Mystery,1969,3.1,Story about Mystery set in 1969 involving war.
12,Bright Garden the Sea,Lisa King,Biography,2007,4.5,Story about Biography set in 2007 involving love.
13,First War in Love,Lisa King,Fantasy,1971,4.4,Story about Fantasy set in 1971 involving mystery.
14,Lost Man the Sea,John Smith,Thriller,2003,4.7,Story about Thriller set in 2003 involving love.
15,An Hope the Woman,Sarah Black,Biography,1996,3.6,Story about Biography set in 1996 involving love.
16,Bright Woman in War,Michael Green,Fantasy,1981,4.8,Story about Fantasy set in 1981 involving love.
17,Bright Love the Man,Michael Green,Mystery,2016,3.6,Story about Mystery set in 2016 involving mystery.
18,Silent Dream  Love,Michael Green,Biography,2017,4.1,Story about Biography set in 2017 involving love.
19,Last War in Fear,Sarah Black,Thriller,1955,3.7,Story about Thriller set in 1955 involving love.
20, Loud Hope in Man,Lisa King,Mystery,1983,4.3,Story about Mystery set in 1983 involving love.
21,Secret Fear of Woman,David Lee,Fiction,1960,3.1,Story about Fiction set in 1960 involving mystery.
22,A Garden in Woman,David Lee,Fantasy,1979,4.0,Story about Fantasy set in 1979 involving war.
23,Lost Hope  Fear,Robert Brown,Mystery,1984,3.1,Story about Mystery set in 1984 involving adventure.
24,Bright City  World,Emily White,Thriller,1970,3.9,Story about Thriller set in 1970 involving adventure.
25,Bright War  Hope,Jane Doe,Fiction,2020,3.6,Story about Fiction set in 2020 involving love.
26,Hidden Garden in City,Michael Green,Sci-Fi,1978,4.3,Story about Sci-Fi set in 1978 involving adventure.
27,The City the Hope,Robert Brown,Romance,1974,5.0,Story about Romance set in 1974 involving war.
28, Loud Garden  Man,Emily White,Fantasy,1960,3.2,Story about Fantasy set in 1960 involving adventure.
29,Dark Fear the Love,David Lee,Fantasy,1957,3.8,Story about Fantasy set in 1957 involving love.
30,The City of City,Lisa King,Sci-Fi,2004,3.9,Story about Sci-Fi set in 2004 involving adventure.
31,First City in Love,Lisa King,Fantasy,2022,4.4,Story about Fantasy set in 2022 involving mystery.
32,Silent World the Hope,Lisa King,Fiction,1963,4.8,Story about Fiction set in 1963 involving mystery.
33,Lost Love  Peace,Michael Green,Biography,2003,4.1,Story about Biography set in 2003 involving adventure.
34,The War in Sea,Jane Doe,Horror,2012,3.1,Story about Horror set in 2012 involving mystery.
